method,noise_level,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,edge_score_mean,edge_score_std
gaussian,low,29.538741416931153,6.12990077617973,0.9460483458033959,0.014065817176826388,0.9357409024238587,0.0106434314811363
nlm,low,42.3815611521403,2.433377441096219,0.9751871506284495,0.02120637769572808,0.9949519475301106,0.007277343848933003
dncnn,low,40.64297337849935,1.3575506289031307,0.9698043028618719,0.012594208719095909,0.9924616201718648,0.009714730477183287
unet,low,37.05092622121175,2.1621461269129307,0.9039269680091229,0.041620969469562015,0.9853306504090628,0.015483471103420996
gaussian,med,29.412245966593424,5.994868661616722,0.9389522070993337,0.013320438647612932,0.9342994618415833,0.012243557854247985
nlm,med,39.30335698445638,2.5582934160796924,0.9537485799571965,0.037247118416804274,0.9894294774532318,0.015092756495219396
dncnn,med,38.37500467936198,1.4787501106377137,0.9534790485271067,0.014919228991831396,0.9870661207040151,0.01647512589820815
unet,med,39.54753423055013,1.9877511148293798,0.9608092720827862,0.01144623295358052,0.9910868970553081,0.010110075915839609
gaussian,high,28.640852839152018,5.219721088776502,0.89062538481732,0.02592076161156332,0.9177528794606526,0.03306093905564459
nlm,high,32.259263585408526,2.763207284184733,0.855646280048624,0.08206372101106194,0.9476548091570536,0.06809334680695436
dncnn,high,34.1563178507487,1.9122800656932626,0.9085345244256754,0.023205569002559056,0.9638241024812063,0.04651173442933374
unet,high,36.19435241699219,2.2596723391066784,0.9634178565058664,0.016214343660881963,0.9781821103890737,0.026419064320141177
